name,platform,year_of_release,genre,publisher,developer
Lost Heroes 2,3DS,2015,Action,Namco Bandai Games,
Heavenly Guardian,Wii,2007,Shooter,505 Games,Starfish
Dynasty Warriors DS: Fighter's Battle,DS,2007,Action,Tecmo Koei,Koei
The Testament of Sherlock Holmes,PC,2012,Adventure,Focus Home Interactive,Frogwares
Space Hulk: Vengeance of the Blood Angels,PS,1995,Shooter,Electronic Arts,
Robot Alchemic Drive,PS2,2002,Action,Enix Corporation,Sandlot
Alpha and Omega,DS,2010,Action,Unknown,Storm City Games
Motor Toon Grand Prix (Japan),PS,1994,Racing,Sony Computer Entertainment,
Dino Master: Dig Discover Duel,DS,2005,Strategy,Majesco Entertainment,
Ken to Mahou to Gakuen Mono. 3,PS3,2010,Role-Playing,Acquire,
Tomb Raider: Legend,DS,2006,Action,Eidos Interactive,Human Soft
Warhammer: Battle For Atluma,PSP,2006,Action,Namco Bandai Games,Sabertooth Games
Hikaru no Go: Heian Gensou Ibunroku,PS,2002,Adventure,Konami Digital Entertainment,
Eagle Flight,PS4,2016,Adventure,Ubisoft,"Ubisoft, FunHouse"
Operation: Vietnam,DS,2007,Shooter,Majesco Entertainment,Coyote Console
Samurai Shodown,NG,1993,Fighting,SNK,
OverBlood 2,PS,1998,Action,Evolution Games,
Fighter Maker 2,PS2,2002,Fighting,Enterbrain,Enterbrain
Lifeline,PS2,2003,Adventure,Sony Computer Entertainment,SCEJ
Judie no Atelier: Guramnat no Renkinjutsushi,PS2,2002,Role-Playing,Gust,
Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,Namco
Tokyo Beat Down,DS,2008,Action,Success,Success
NHL 2005,GC,2004,Sports,Electronic Arts,EA Sports
Midway Arcade Treasures 3,GC,2005,Misc,Midway Games,Midway
Microsoft Flight Simulator 2004: A Century of Flight,PC,2003,Simulation,Microsoft Game Studios,Microsoft Game Studios
"Horrid Henry: The Good, The Bad and The Bugly",3DS,2011,Platform,Asylum Entertainment,
Firefighter F.D.18,PS2,2004,Action,Konami Digital Entertainment,
Akai Katana Shin,X360,2011,Shooter,Cave,
Anubis II,Wii,2007,Platform,Metro 3D,Data Design Interactive
Goodbye Deponia,PC,2013,Adventure,Daedalic Entertainment,Daedalic Entertainment
Pro Yaky? Spirits 2014,PSV,2014,Sports,Konami Digital Entertainment,
Legend of Kay,PS4,2015,Action,Nordic Games,
Cartoon Network: Punch Time Explosion XL,PS3,2011,Fighting,Crave Entertainment,
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008,Adventure,Tecmo Koei,
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,KING Art
Ultimate Board Game Collection,PSP,2007,Misc,Xplosiv,Jack of All Games
Mega Man X4,SAT,1997,Action,Capcom,
Jackass the Game DS,DS,2008,Action,Empire Interactive,
Jake Power: Handyman,DS,2008,Adventure,Ubisoft,Ubisoft
My Dress-Up,DS,2008,Misc,Oxygen Interactive,Oxygen Interactive
Power Pro GB,GB,1998,Sports,Konami Digital Entertainment,
Beat City,DS,2010,Misc,THQ,Universomo
Sudoku Fever,GBA,2006,Puzzle,Take-Two Interactive,Global Star Software
Inversion,PS3,2012,Shooter,Namco Bandai Games,Saber Interactive
The Putter Golf,PS,2001,Sports,D3Publisher,
Ultimate Marvel vs. Capcom 3,X360,2011,Fighting,Capcom,Capcom
The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,VIS Entertainment
Super Real Mahjong Graffiti,SAT,1995,Misc,Seta Corporation,
Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,2015,Action,FuRyu,
Ninja Warriors,SNES,1993,Action,Titus,
Army Men: RTS,GC,2004,Strategy,Global Star,Pandemic Studios
Classic Action: Devilish,DS,2005,Misc,505 Games,Starfish
Zettai Onkan Otoda Master,DS,2007,Role-Playing,Hudson Soft,
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,Climax Studios
Dragoneer's Aria,PSP,2007,Role-Playing,Tecmo Koei,Hit Maker
Xbox Live Arcade Unplugged Volume 1,X360,2006,Misc,Microsoft Game Studios,
TigerShark,PS,1997,Simulation,GT Interactive,
Major League Baseball 2K10,PSP,2010,Sports,Take-Two Interactive,Visual Concepts
Norse by Norsewest: The Return of the Lost Vikings,PS,1997,Action,Interplay,
N+,DS,2007,Platform,Atari,"Metanet Software Inc., SilverBirch Studios"
Titanic Mystery,DS,2010,Puzzle,PlayV,Purple Hills
Backyard NFL Football '09,DS,2008,Sports,Atari,
Obscure,PS2,2004,Adventure,Microids,Hydravision
Sega Soccer Slam,GC,2002,Sports,Sega,Black Box
Katekyoo Hitman Reborn! DS: Fate of Heat - Hono no Unmei,DS,2008,Role-Playing,Takara Tomy,
Shin Lucky * Star: Moe Drill ~Tabidachi~,DS,2007,Action,Kadokawa Shoten,
DefCon 5,PS,1995,Shooter,Psygnosis,
Secret Service: Ultimate Sacrifice,PS2,2008,Action,Activision,
Transformer: Rise of the Dark Spark (3DS),3DS,2014,Role-Playing,Activision,
Deep Labyrinth,DS,2006,Action,505 Games,Interactive Brains
Nichibeikan Pro Yakyuu: Final League,PS2,2002,Sports,SquareSoft,
Spawn: Armageddon,GC,2003,Action,Electronic Arts,Point of View
God Hand,PS2,2006,Action,Capcom,Clover Studio
Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,2006,Action,505 Games,
Junior Classic Books & Fairytales,DS,2010,Misc,GSP,
Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,Powerhead Games
Fatal Fury: Battle Archives Volume 2,PS2,2007,Fighting,SNK Playmore,SNK Playmore
Mario Tennis,Wii,2010,Sports,Nintendo,Camelot Software Planning
Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,Blue Tongue Entertainment
FIFA Soccer 06,GBA,2005,Sports,Electronic Arts,Electronic Arts
Freddi Fish: Kelp Seed Mystery,Wii,2008,Adventure,Majesco Entertainment,Humongous Entertainment
RedCard 20-03,PS2,2002,Sports,Midway Games,Midway
Brothers in Arms: Furious 4,PS3,2012,Shooter,Ubisoft,Gearbox Software
Future Tactics: The Uprising,PS2,2004,Strategy,Crave Entertainment,Zed Two Limited
Kanji Sonomama DS Rakubiki Jiten,DS,2006,Misc,Nintendo,
Driver: Parallel Lines,XB,2006,Racing,Atari,Reflections Interactive
Hyperdimension Neptunia Victory,PSV,2014,Role-Playing,Compile Heart,
everGirl,GBA,2005,Adventure,THQ,
Heroes Phantasia,PSP,2012,Role-Playing,Namco Bandai Games,
Top Gun,PS3,2011,Simulation,505 Games,Doublesix
Batman: Rise of Sin Tzu,GBA,2003,Action,Ubisoft,Ubisoft
Chuugaku Eitango Target 1800 DS,DS,2006,Misc,IE Institute,
Sherlock Holmes: Crimes & Punishments,PS3,2014,Adventure,Focus Home Interactive,
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,2010,Sports,Zoo Games,Collision Studios
Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,Artdink
World Racing,XB,2003,Racing,TDK Mediactive,Synetic
Resident Evil 5,PC,2009,Action,Capcom,Capcom
X-Men: The Official Game,GBA,2006,Action,Activision,WayForward
Disney's Party,GBA,2003,Misc,Hudson Entertainment,Jupiter Multimedia
Generator Rex: Agent of Providence,DS,2011,Action,Activision,Virtuos
Storybook Workshop,Wii,2009,Misc,Konami Digital Entertainment,Konami
Command & Conquer 3: Tiberium Wars,PC,2007,Strategy,Electronic Arts,
Card Games,PS,2000,Misc,D3Publisher,
Tropix,DS,2008,Puzzle,Capcom,
Mega Man: Battle & Chase,PS,1997,Racing,Capcom,
Winning Post 7 2010,PS3,2010,Sports,Tecmo Koei,
Build-A-Bear Workshop: Friendship Valley,Wii,N/A,Misc,Unknown,Neko Entertainment
Pipe Mania,PSP,2008,Puzzle,Empire Interactive,Empire Interactive
Daniel X: The Ultimate Power,DS,2010,Action,THQ,Griptonite Games
Destrega,PS,1998,Fighting,Sony Computer Entertainment,
Fantasy Aquarium World,Wii,2009,Simulation,Destineer,Coresoft
Nobunaga no Yabou: Tendou with Power-Up Kit,PS3,2011,Strategy,Tecmo Koei,
The Final Round,PS,1996,Sports,Konami Digital Entertainment,
MAPLUS: Portable Navi,PSP,2006,Misc,Edia,
Rayman Arena,XB,N/A,Racing,Unknown,Ubisoft
Order Up!!,PS3,2011,Action,Funbox Media,
Reader Rabbit 1st Grade,Wii,2010,Misc,Graffiti,Graffiti Entertainment
The King of Fighters 02/03,PS2,2005,Fighting,SNK,SNK Playmore
Port Royale 3,X360,N/A,Simulation,Kalypso Media,Kalypso
Army Men: Green Rogue,PS,2001,Action,3DO,
Centipede / Breakout / Warlords,GBA,2005,Misc,Zoo Digital Publishing,Epicenter Interactive
Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010,Adventure,5pb,
Sly 2: Band of Thieves,PS3,2010,Platform,Sony Computer Entertainment,Sanzaru Games
Armored Core: Nine Breaker,PS2,2004,Simulation,505 Games,From Software
Doraemon: Nobita no Shin Makai Daibouken DS,DS,2007,Role-Playing,Sega,
Terraria,PS4,2014,Action,505 Games,Engine Software
Cabela's Big Game Hunter 2005 Adventures,GC,2004,Sports,Activision,MagicWand
Worms 3D,GC,2003,Strategy,Sega,Team 17
BlazBlue: Chrono Phantasma Extend,XOne,2015,Action,PQube,Arc System Works
TRON: Evolution,PC,2010,Action,Disney Interactive Studios,Propaganda Games
Pac-Man and the Ghostly Adventures 2,WiiU,2014,Adventure,Namco Bandai Games,Vicious Cycle
Dark Souls,PC,2012,Role-Playing,Namco Bandai Games,
National Geographic Challenge!,X360,N/A,Misc,Unknown,
Gambler Densetsu Tetsuya,PS2,2001,Adventure,Athena,
The Guided Fate Paradox,PS3,2013,Role-Playing,Nippon Ichi Software,Nippon Ichi Software
Mayhem 3D,X360,2011,Racing,Evolved Games,Zoo Games
Bleach: Hanatareshi Yabou,PS2,2006,Role-Playing,Sony Computer Entertainment,
Karaoke Revolution Party,XB,2005,Misc,Konami Digital Entertainment,Harmonix Music Systems
Alex Rider: Stormbreaker,DS,N/A,Action,THQ,Altron
Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,2006,Adventure,Aria,
Carol Vorderman's Sudoku,PSP,2006,Puzzle,Xplosiv,Empire Interactive
Pandemonium 2,PS,1997,Platform,BMG Interactive Entertainment,
Gundam Try Age SP,3DS,2014,Strategy,Namco Bandai Games,
WipEout HD Fury,PS3,2009,Racing,Sony Computer Entertainment,Studio Liverpool
Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,Avalon Interactive,Interplay
Dreamer Series: Pop Star,DS,2009,Misc,Tivola,Dreamcatcher
Penguins of Madagascar,3DS,2014,Action,Namco Bandai Games,Little Orbit
12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,
Parlor! Mini 2,SNES,1996,Misc,Nippon Telenet,
"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,h.a.n.d. Inc.
Gunstar Super Heroes,GBA,2005,Shooter,Sega,Treasure
C: The Contra Adventure,PS,1998,Shooter,Konami Digital Entertainment,
Interactive Storybook DS Series 1,DS,2007,Misc,Tommo,Starfish SD
Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,KCEA
Cities XL 2012,PC,2011,Strategy,Focus Home Interactive,Monte Cristo Multimedia
Worms Forts: Under Siege,XB,2004,Strategy,Sega,Team 17
Dream C Club,X360,2009,Simulation,D3Publisher,
Pocky & Rocky with Becky,GBA,2001,Shooter,Altron,
The Tale of Despereaux,DS,2008,Platform,Brash Entertainment,Brash Entertainment
Jam Sessions 2,DS,2009,Misc,Ubisoft,Plato
Full Spectrum Warrior: Ten Hammers,PS2,2006,Strategy,THQ,Pandemic Studios
Streets of Rage 3,GEN,1993,Action,Sega,
Just Dance: Disney Party 2,X360,2015,Action,Ubisoft,Ubisoft
Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,Kadokawa
Hasbro Family Game Night Fun Pack,X360,2011,Misc,Electronic Arts,Electronic Arts
Pro Yaky? Spirits 4,PS3,2007,Sports,Konami Digital Entertainment,
Prince of Persia: The Fallen King,DS,2008,Action,Ubisoft,Ubisoft
My Horse & Me: Riding for Gold,DS,2008,Sports,Atari,
Speed Racer,PS,1996,Racing,Tomy Corporation,
NHL Hitz Pro,XB,2003,Sports,Midway Games,Next Level Games
Cardfight!! Vanguard: Lock On Victory!!,3DS,2014,Misc,FuRyu,
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,Revolution Software
Alan Wake,PC,2012,Action,Nordic Games,Remedy Entertainment
Atelier Meruru: Alchemist of Arland 3,PSV,2013,Role-Playing,Gust,
Hot Wheels: Burnin' Rubber,GBA,2001,Racing,THQ,Altron
Lost in Blue 2,DS,2007,Adventure,Konami Digital Entertainment,Matrix Software
Ojyousama Express,PS,1998,Strategy,Media Works,
Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,Piranha Bytes
Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,Irem
Wings of War,XB,2004,Simulation,Take-Two Interactive,Silver Wish Games
187: Ride or Die,XB,2005,Racing,Ubisoft,Ubisoft Paris
RPG Maker 3,PS2,2004,Role-Playing,Enterbrain,Runtime
Zatch Bell! Mamodo Battles,GC,2005,Fighting,Namco Bandai Games,
Genkai Tokki Monster Monpiece,PSV,2013,Strategy,Idea Factory,
Desert Strike Advance,GBA,2002,Simulation,Electronic Arts,BudCat
Kabuki Warriors,XB,2001,Action,Genki,Light Weight
Discworld,PS,1994,Adventure,Psygnosis,
Motion Explosion!,X360,2011,Misc,505 Games,
World Poker Tour,XB,2005,Misc,Take-Two Interactive,2K Sports
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,Big Huge Games
Elite Forces: Unit 77,DS,2009,Strategy,Deep Silver,Gammick Entertainment
IL-2 Sturmovik: Birds of Prey,DS,2009,Simulation,505 Games,DiP Interactive
Moshi Monsters: Katsuma Unleashed,3DS,2013,Action,Activision,Black Lantern Studios
Pirates: The Legend of Black Kat,XB,2002,Adventure,Electronic Arts,Westwood Studios
July,DC,1998,Adventure,Fortyfive,
Crime Lab: Body of Evidence,DS,2010,Adventure,City Interactive,City Interactive
Disney's Chicken Little: Ace In Action,DS,2006,Shooter,Disney Interactive Studios,DC Studios
ESPN Winter X-Games: Snowboarding 2002,GBA,2000,Sports,Konami Digital Entertainment,
Bleach: Versus Crusade,Wii,2008,Fighting,Sega,
Kanon,DC,2000,Adventure,NEC Interchannel,
NanoBreaker,PS2,2005,Action,Konami Digital Entertainment,KCET
You Don't Know Jack,DS,2011,Misc,THQ,Jellyvision
Bionicle,XB,2003,Action,Electronic Arts,Argonaut Games
GRID 2,PC,2013,Racing,Codemasters,Codemasters
Cabela's Trophy Bucks,Wii,2008,Sports,Activision Value,FUN Labs
Cosmos Chaos!,DS,2010,Misc,Mentor Interactive,
Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,2000,Simulation,Konami Digital Entertainment,
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015,Misc,Namco Bandai Games,
Criminal Girls: Invite Only,PSV,2013,Role-Playing,Nippon Ichi Software,"Image Epoch, Imageepoch"
Miami Vice: The Game,PSP,2006,Shooter,Activision,Rebellion
Samurai Warriors Chronicles 3,PSV,2014,Action,Tecmo Koei,Omega Force
BMX XXX,GC,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd."
Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Action,Capcom,Klein Computer Entertainment
Bullet Girls,PSV,2014,Action,D3Publisher,
One Piece: Unlimited World Red,WiiU,2014,Action,Namco Bandai Games,Ganbarion
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd."
Ikki Tousen: Xross Impact,PSP,2010,Action,Marvelous Interactive,
Smart Boy's Toys Club,DS,2008,Misc,505 Games,Starfish
Insecticide,DS,2008,Action,Gamecock,Creat Studios
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Misc,Imax,
XGRA: Extreme G Racing Association,PS2,2003,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham
Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007,Action,Namco Bandai Games,
Family Trainer: Treasure Adventure,Wii,2010,Sports,Namco Bandai Games,Namco Bandai Games
Pop'n Music Portable 2,PSP,2011,Misc,Konami Digital Entertainment,
Kamen Rider: Dragon Knight,Wii,2009,Fighting,D3Publisher,Eighting
Darksiders II,XOne,2015,Action,Nordic Games,
Ys vs. Sora no Kiseki: Alternative Saga,PSP,2010,Fighting,Falcom Corporation,
Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006,Fighting,Namco Bandai Games,
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,Marvelous Interactive,
Ray Tracers,PS,1997,Racing,Sony Computer Entertainment,
Mario vs. Donkey Kong: Tipping Stars,3DS,2015,Puzzle,Nintendo,"Nintendo, Nintendo Software Technology"
Tournament of Legends,Wii,2010,Fighting,Sega,High Voltage Software
Frogger: Helmet Chaos,DS,2005,Platform,Konami Digital Entertainment,Konami Computer Entertainment Hawaii
Escape from Bug Island,Wii,2006,Action,Eidos Interactive,Spike
Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,Misc,D3Publisher,
Cold Stone Creamery: Scoop It Up,Wii,2009,Misc,Zoo Games,Zoo Games
My Pet Shop,DS,2008,Simulation,Square Enix,Taito Corporation
James Bond 007: Blood Stone,DS,2010,Shooter,Activision,n-Space
Kururin Paradise,GBA,2002,Puzzle,Unknown,
Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,M2
Kiniro no Corda 2,PS2,2007,Role-Playing,Tecmo Koei,
Dynasty Warriors Vs,3DS,2012,Action,Ackkstudios,Koei
Fist of the North Star: Ken's Rage 2,X360,2012,Fighting,Tecmo Koei,Koei
Gallop Racer 2004,PS2,2004,Sports,Zoo Digital Publishing,Tecmo
Sunrise Eiyuutan R,PS2,2000,Role-Playing,Sunrise Interactive,
Rayman: Hoodlum's Revenge,GBA,2005,Platform,Ubisoft,Backbone Entertainment
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004,Shooter,Namco Bandai Games,Bec
F1 2001,XB,2001,Racing,Electronic Arts,EA Sports
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,Aqua Plus,
Fishing Master (jp sales),Wii,2007,Sports,Konami Digital Entertainment,
OK! Puzzle Stars,DS,2010,Puzzle,Ubisoft,
Zill O'll Infinite Plus,PSP,2009,Role-Playing,Tecmo Koei,
Tonka Rescue Patrol,GC,2003,Action,TDK Mediactive,
GunGriffon II,SAT,1998,Simulation,ESP,
Crimson Gem Saga,PSP,2008,Role-Playing,Sega,"IronNos Co.,Ltd."
Monster Tale,DS,2011,Platform,Majesco Entertainment,DreamRift
Legend of the Dragon,Wii,2007,Fighting,Game Factory,Neko Entertainment
Cel Damage,GC,2002,Racing,Electronic Arts,Pseudo Interactive
Backyard Hockey,DS,2007,Sports,Atari,Mistic Software
Famicom Mini: Balloon Fight,GBA,2004,Action,Nintendo,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,Adventure,5pb,
Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Simulation,Sega,
Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,DS,2008,Action,Namco Bandai Games,
Sprung - A Game Where Everyone Scores,DS,2004,Adventure,Ubisoft,
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,EA DICE
The Pinball of the Dead,GBA,2002,Misc,Sega,Sega
Growlanser IV: Over Reloaded,PSP,2011,Role-Playing,Atlus,
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,Cattle Call
The King of Route 66,PS2,2003,Racing,Sega,Sega
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,Ubisoft,Ubisoft
Western Riding Academy,DS,2010,Simulation,Destineer,Snapdragon
Bubble Bobble also featuring Rainbow Islands,PS,1995,Puzzle,Acclaim Entertainment,
Intellivision Lives!,GC,2004,Misc,Crave Entertainment,
Tokobot,PSP,2005,Platform,Take-Two Interactive,Tecmo
Monster Madness: Grave Danger,PS3,2008,Shooter,SouthPeak Games,Psyonix
Panzer Tactics,DS,2007,Strategy,10TACLE Studios,
Pro Yaky? Spirits 2013,PSV,2013,Sports,Konami Digital Entertainment,
Robotica,SAT,1994,Shooter,Sega,
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,
Deathrow: Underground Team Combat,XB,2002,Sports,Ubisoft,
The Amazing Spider-Man 2 (2014),3DS,2014,Action,Activision,
Paws & Claws: Marine Rescue,DS,2011,Simulation,THQ,
Land of the Dead: Road to Fiddler's Green,XB,2005,Shooter,Groove Games,Brainbox Games
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,Vanillaware
R-Types,PS,1998,Shooter,Virgin Interactive,
Star Fighter,PS,1995,Shooter,Telstar,
Game Center CX: 3-Choume no Arino,3DS,2014,Action,Namco Bandai Games,
Assetto Corsa,PS4,2016,Racing,505 Games,Kunos Simulazioni
NHL 2K9,Wii,2008,Sports,Take-Two Interactive,Visual Concepts
Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008,Misc,Benesse,
Osu! Tatakae! Ouendan,DS,2005,Misc,Nintendo,
Dissidia: Final Fantasy Universal Tuning,PSP,2009,Fighting,Square Enix,
Fast Food Panic,Wii,2009,Simulation,Nobilis,MBA International
"Warhammer 40,000: Squad Command",DS,2007,Strategy,THQ,THQ
Johnny Test,DS,2011,Platform,505 Games,"505 Games, Sarbakan Inc."
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,Spike Chunsoft
TrackMania Turbo,XOne,2016,Action,Ubisoft,Nadeo
Pro Evolution Soccer 2015,PC,2014,Sports,Konami Digital Entertainment,Konami
Jewels of the Ages,DS,2011,Puzzle,City Interactive,City Interactive
Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,2011,Adventure,Namco Bandai Games,
The Legend of Heroes: Trails in the Sky Second Chapter,PSP,2007,Role-Playing,Falcom Corporation,
Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,"Spike Chunsoft, Chime"
Bionicle Heroes,DS,2006,Shooter,Eidos Interactive,Amaze Entertainment
Mystic Heroes,PS2,2002,Action,Tecmo Koei,Koei
Tron 2.0: Killer App,GBA,2004,Action,Disney Interactive Studios,Digital Eclipse
Jurassic Park III: Park Builder,GBA,2001,Simulation,Konami Digital Entertainment,Konami
Unchained Blades ,PSP,2011,Role-Playing,FuRyu,FuRyu
NHL Legacy,X360,2015,Action,Electronic Arts,
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,2011,Fighting,Namco Bandai Games,
Santa Claus Is Comin' to Town!,DS,2011,Puzzle,Crave Entertainment,
Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,
Octomania,Wii,2007,Puzzle,Midas Interactive Entertainment,Compile Heart
Godzilla (2014),PS3,2014,Action,Namco Bandai Games,
Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,2008,Adventure,Namco Bandai Games,
Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,Nikitova Games
LEGO Bionicle,GBA,2001,Platform,LEGO Media,Saffire
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games,
Power Shovel,PS,2000,Action,JVC,
Bomberman Land,PSP,2007,Misc,Hudson Entertainment,Racjin
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,
My Pet Chimp,DS,2010,Simulation,505 Games,505 Games
Generator Rex: Agent of Providence,X360,2011,Action,Activision,Virtuos
Chrysler Classic Racing,Wii,2008,Racing,Zoo Games,Extra Mile Studios
Spy Games: Elevator Mission,Wii,2007,Shooter,Tommo,Tommo
The Book of Unwritten Tales: The Critter Chronicles,PC,2011,Action,Crimson Cow,
Steins;Gate,PS3,2012,Adventure,PQube,Nitro+
Nights of Azure,PS4,2015,Action,Tecmo Koei,Gust
Strike Force Bowling,GC,2005,Sports,Crave Entertainment,Crave
Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,Gas Powered Games
Earth Defense Force 2017 Portable,PSV,2012,Action,D3Publisher,Sandlot
Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,Gust
Spy Fox in Dry Cereal,Wii,2008,Adventure,Majesco Entertainment,"Humongous Entertainment, Mistic Software"
There,PS,2002,Simulation,Infogrames,
Tokimeki no Houkago,PS,1998,Misc,Konami Digital Entertainment,
Championship Surfer,PS,2000,Sports,Mattel Interactive,Krome Studios
Zumba Fitness Core,Wii,2012,Misc,505 Games,Zoe Mode
Lego Batman 3: Beyond Gotham,PC,2014,Action,Warner Bros. Interactive Entertainment,TT Games
Di-Gata Defenders,DS,2008,Role-Playing,Game Factory,Mystic Software
Monster Garage,XB,2004,Strategy,Activision Value,Activision Value
ZhuZhu Pets: Quest for Zhu,DS,2011,Misc,Activision,
A-Train: City Simulator,3DS,2014,Simulation,ArtDink,Artdink
Tecmo Classic Arcade,XB,2005,Misc,Microsoft Game Studios,Tecmo
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,
Mad Maestro!,PS2,2001,Misc,Eidos Interactive,
Densha De Go! 3 Tsuukinhen,PS2,2001,Simulation,Taito,
Biker Mice From Mars,PS2,2006,Racing,Game Factory,Creat Studios
From The Abyss,DS,2008,Role-Playing,Nobilis,Sonic Powered
Jewel Quest IV: Heritage,DS,2011,Puzzle,iWin,Engine Software
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,2006,Misc,Daito,
Sudoku Ball Detective,DS,2009,Puzzle,Playlogic Game Factory,Whitebear
The LEGO Movie Videogame,PC,2014,Action,Warner Bros. Interactive Entertainment,TT Games
DuckTales: Remastered,WiiU,2013,Action,Capcom,WayForward
Giants: Citizen Kabuto,PS2,2001,Shooter,Interplay,Digital Mayhem
Steins;Gate,X360,2009,Adventure,5pb,
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Adventure,Namco Bandai Games,
Star Wars Knights of the Old Republic II: The Sith Lords,PC,2005,Role-Playing,LucasArts,
MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,Nordic Games Publishing
Grand Kingdom,PSV,2015,Role-Playing,Nippon Ichi Software,Spike Chunsoft
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,
Guilty Gear XX Accent Core Plus,PS2,2008,Fighting,PQube,Arc System Works
LEGO Batman: The Videogame,PC,2008,Action,Warner Bros. Interactive Entertainment,Traveller's Tales
Alone in the Dark,PS2,2008,Adventure,Atari,Hydravision
Muppets Party Cruise,PS2,2003,Misc,TDK Mediactive,Mass Media
Higurashi Daybreak Portable,PSP,2008,Adventure,Alchemist,
Shonen Jump's One Piece: Grand Battle,GC,2005,Fighting,Namco Bandai Games,
Transformer: Rise of the Dark Spark,WiiU,2014,Action,Activision,
Barbie Horse Adventures: Wild Horse Rescue,XB,2003,Sports,Vivendi Games,
Blast Lacrosse,PS,2001,Sports,Acclaim Entertainment,
Kikou Heidan J-Phoenix,PS2,2001,Action,Takara,
Backyard NFL Football '10,PS2,2009,Sports,Atari,
